registro;;;uo;;numero_empenho;;data_nap;numero_nap;valor_item_empenho;
10;40270;1;1081;1;14956;11122023;11122023;38232;574578,33;67340504672
11;40270;1501000;0;574578,33;;;;;;
10;40272;1;1081;1;14957;11122023;11122023;38234;37500,00;67340504672
11;40272;1501000;0;37500;;;;;;
10;40280;1;1131;1;13678;16112023;12122023;38239;17507,10;1463827652
11;40280;1600000;0;17507,1;;;;;;
10;40281;1;1131;1;13618;13112023;12122023;38240;114884,90;1463827652
11;40281;1600000;0;114884,9;;;;;;
10;40282;1;1131;1;5911;16052023;12122023;38241;1241,35;1463827652
11;40282;2600000;0;1241,35;;;;;;
10;40283;1;1151;1;13788;16112023;12122023;38242;262186,43;18606121649
11;40283;1500000;0;262186,43;;;;;;
10;40284;1;1131;1;11268;21092023;12122023;38243;99600,80;1463827652
11;40284;1500000;1002;99600,8;;;;;;
10;40285;1;1061;1;13736;16112023;12122023;38246;27386,00;1263146678
11;40285;2500000;0;27386;;;;;;
10;40425;1;1131;1;12060;2102023;12122023;38247;12000,00;1463827652
11;40425;1621000;0;12000;;;;;;
10;40287;1;1123;1;14978;12122023;12122023;38252;4599,90;29703905668
11;40287;1500000;1001;4599,9;;;;;;
10;41103;1;1071;1;13094;25102023;12122023;38253;2628,88;31196098620
11;41103;1500000;0;2628,88;;;;;;
10;41104;1;1071;1;14624;28112023;12122023;38253;608,18;31196098620
11;41104;1500000;0;608,18;;;;;;
10;40289;1;1061;1;12405;16102023;12122023;38254;15200,00;1263146678
11;40289;1500000;0;15200;;;;;;
10;40290;1;1111;1;11703;26092023;12122023;38255;244965,29;27870316687
11;40290;2500000;0;244965,29;;;;;;
10;40291;1;1061;1;8468;5072023;12122023;38256;1975,60;1263146678
11;40291;2500000;0;1975,6;;;;;;
10;40293;1;1152;1;11191;20092023;12122023;38261;67508,25;13086618604
11;40293;2899000;0;67508,25;;;;;;
10;40292;1;1152;1;10796;15092023;12122023;38261;82153,32;13086618604
11;40292;2899000;0;82153,32;;;;;;
10;40294;1;1061;1;12405;16102023;12122023;38262;30400,00;1263146678
11;40294;1500000;0;30400;;;;;;
10;41183;1;1061;1;12405;16102023;15122023;38266;3040,00;1263146678
11;41183;1500000;0;3040;;;;;;
10;40296;1;1061;1;14711;1122023;12122023;38267;296,47;1263146678
11;40296;1500000;0;296,47;;;;;;
10;40297;1;1061;1;14711;1122023;12122023;38268;296,47;1263146678
11;40297;1500000;0;296,47;;;;;;
10;40298;1;1061;1;13653;14112023;12122023;38269;435,89;1263146678
11;40298;1500000;0;435,89;;;;;;
10;40299;1;1131;1;11234;21092023;12122023;38270;8260,51;1463827652
11;40299;1500000;1002;8260,51;;;;;;
10;40300;1;1131;1;11006;19092023;12122023;38271;131000,00;1463827652
11;40300;1500000;1002;131000;;;;;;
10;40301;1;1131;1;11011;19092023;12122023;38273;345000,00;1463827652
11;40301;1600000;0;345000;;;;;;
10;40302;1;1131;1;11234;21092023;12122023;38274;8260,51;1463827652
11;40302;1500000;1002;8260,51;;;;;;
10;40303;1;1131;1;2923;28022023;12122023;38276;55555,55;1463827652
11;40303;2621000;0;55555,55;;;;;;
10;40304;1;1212;1;10416;1092023;12122023;38277;123537,94;501953604
11;40304;1500000;0;123537,94;;;;;;
10;41164;1;1061;1;12405;16102023;15122023;38279;40600,00;1263146678
11;41164;1500000;0;40600;;;;;;
10;40306;1;1151;1;11020;19092023;12122023;38280;362298,74;18606121649
11;40306;2754000;0;362298,74;;;;;;
10;40308;1;1061;1;12405;16102023;12122023;38286;26964,00;1263146678
11;40308;1500000;0;26964;;;;;;
10;40309;1;1061;1;10697;14092023;12122023;38287;7245,25;1263146678
11;40309;2500000;0;7245,25;;;;;;
10;40966;1;1061;1;10697;14092023;18122023;38289;10322,00;1263146678
11;40966;2500000;0;10322;;;;;;
10;40311;1;1061;1;12405;16102023;12122023;38291;55300,00;1263146678
11;40311;1500000;0;55300;;;;;;
10;40392;1;1061;1;12405;16102023;12122023;38292;24720,00;1263146678
11;40392;1500000;0;24720;;;;;;
10;40313;1;1131;1;9613;11082023;12122023;38293;8260,51;1463827652
11;40313;1600000;0;8260,51;;;;;;
10;40393;1;1061;1;12405;16102023;12122023;38295;2472,00;1263146678
11;40393;1500000;0;2472;;;;;;
10;40315;1;1061;1;12405;16102023;12122023;38296;36750,00;1263146678
11;40315;1500000;0;36750;;;;;;
10;40777;1;1131;1;10911;18092023;15122023;38848;24300,00;1463827652
11;40777;1600000;0;24300;;;;;;
10;40799;1;1131;1;10824;15092023;15122023;38840;585,15;1463827652
11;40799;1600000;0;585,15;;;;;;
10;40775;1;1131;1;10987;19092023;15122023;38844;409695,00;1463827652
11;40775;1600000;0;409695;;;;;;
10;40776;1;1131;1;10983;19092023;15122023;38846;66690,00;1463827652
11;40776;1600000;0;66690;;;;;;
10;40780;1;1131;1;10987;19092023;15122023;38851;28350,00;1463827652
11;40780;1600000;0;28350;;;;;;
10;41336;1;1131;1;10983;19092023;15122023;38853;1350,00;1463827652
11;41336;1600000;0;1350;;;;;;
10;40782;1;1131;1;10911;18092023;15122023;38855;17010,00;1463827652
11;40782;1600000;0;17010;;;;;;
10;42481;1;1131;1;15257;20122023;20122023;38857;736,82;1463827652
11;42481;1600000;0;736,82;;;;;;
10;42480;1;1131;1;13436;8112023;20122023;38857;2429,54;1463827652
11;42480;1600000;0;2429,54;;;;;;
10;40785;1;1131;1;11283;21092023;15122023;38860;150061,09;1463827652
11;40785;1600000;0;150061,09;;;;;;
10;40789;1;1152;1;13441;8112023;15122023;38862;810451,62;13086618604
11;40789;1759005;0;810451,62;;;;;;
10;40791;1;1131;1;11218;21092023;15122023;38868;151276,03;1463827652
11;40791;1600000;3110;151276,03;;;;;;
10;40793;1;1152;1;11997;29092023;15122023;38876;688849,77;13086618604
11;40793;2899000;0;688849,77;;;;;;
10;40794;1;1241;1;14691;30112023;15122023;38879;569,01;66012309600
11;40794;2500000;0;569,01;;;;;;
10;40795;1;1241;1;14692;30112023;15122023;38879;15,90;66012309600
11;40795;2500000;0;15,9;;;;;;
10;40796;1;1131;1;5633;8052023;15122023;38880;26301,83;1463827652
11;40796;1500000;1002;26301,83;;;;;;
10;40801;1;1131;1;8202;30062023;15122023;38889;465402,43;1463827652
11;40801;1600000;0;465402,43;;;;;;
10;40802;1;1131;1;7035;14062023;15122023;38890;140733,00;1463827652
11;40802;1600000;0;140733;;;;;;
10;40803;1;1151;1;8258;30062023;15122023;38893;79823,01;18606121649
11;40803;2754000;0;79823,01;;;;;;
10;40804;1;1131;1;5633;8052023;15122023;38894;62829,33;1463827652
11;40804;1500000;1002;62829,33;;;;;;
10;40805;1;1131;1;7039;14062023;15122023;38897;347800,00;1463827652
11;40805;2621000;0;347800;;;;;;
10;40807;1;1151;1;8415;4072023;15122023;38898;7982,30;18606121649
11;40807;1500000;0;7982,3;;;;;;
10;40808;1;1131;1;10992;19092023;15122023;38901;45248,58;1463827652
11;40808;1600000;0;45248,58;;;;;;
10;40809;1;1131;1;7612;23062023;15122023;38902;984863,81;1463827652
11;40809;2621000;0;984863,81;;;;;;
10;40810;1;1211;1;1531;11012023;15122023;38905;7062,62;501953604
11;40810;1500000;0;7062,62;;;;;;
10;40811;1;1211;1;1532;11012023;15122023;38905;13116,28;501953604
11;40811;1500000;0;13116,28;;;;;;
